CompanyNumber,NiceName,CompanyStatus
07512955,"Ageing in Great Britain C.I.C.",Active
05678507,"Agency East CIC",Active
07853827,"Ninety CIC",Active
06615278,"Agents of Change (P2p) CIC",Active
05943431,"Aggregated Sustainability CIC",Active
NI607161,"Aghyaran Development Association CIC",Active
07003228,"Agricultural and Rural Centre Community Interest Company",Active
07276961,"Aidem Digital CIC",Active
07555636,"Aim2inspire Community Interest Company",Active
07884130,"Aim4 Partnerships C.I.C.",Active
05658020,"Aimes Grid Services Community Interest Company",Active
07706826,"Aiming Higher Together CIC",Active
07562216,"Aims for Schools C.i.c.","Active - Proposal to Strike off"
08091020,"Dolphin Integrated System C.I.C.","Active - Proposal to Strike off"
07308919,"Air Ambulance Support Community Interest Company",Liquidation
07635210,"Airevalley Counselling and Therapy C.I.C.",Active
07336479,"Aisco C.I.C.","Active - Proposal to Strike off"
07248216,"Ajf Academy Community Interest Company","Active - Proposal to Strike off"
07720511,"Akatemia Community Interest Company",Active
07411520,"Akazul C.I.C.",Active
05216027,"Akcess CIC","Voluntary Arrangement"
07864021,"Akon Window Cleaners C.I.C.",Active
05561078,"Al Pafeno Consultancy CIC",Active
08023549,"Third Sector Finance CIC",Active
06565112,"Albert's of Salford Community Interest Company",Active
06661810,"Alchemy CPD Community Interest Company",Active
07034893,"Alcohol Awareness Team Training CIC",Active
08090638,"Alcohol Health Network CIC",Active
06876285,"Alcohol Peer Support Services (Apss) Community Interest Company",Active
07540968,"Aleevee8 CIC","Active - Proposal to Strike off"
06249975,"Alekto C.i.c",Active
07963996,"Alex Campbell Out of School Club CIC","Active - Proposal to Strike off"
06181046,"Alias Arts C.i.c",Active
07326081,"Alive Care Cic",Active
06918634,"All Garden Services Community Interest Company","Active - Proposal to Strike off"
06513757,"All Inclusive Disability Consultants Community Interest Company",Active
07684388,"All Nations Community Choir Community Interest Company",Active
06779554,"All Saints Day Centre Community Interest Company","Active - Proposal to Strike off"
06930206,"All Stars Cafe Community Interest Company",Active
06950206,"All2gether Network CIC",Active
06058713,"Allendale Creative Artists Community Interest Company",Active
05276464,"Allied Associates C.I.C.",Active
07542222,"Allied Health Professionals Suffolk CIC",Active
07743146,"Ally for All CIC",Active
06726155,"Aloha Palestine C.i.c",Active
06330763,"Alpha Business Works CIC",Active
07624867,"Alpha Resolution Cic",Active
07357295,"Alpha Skills 4 Employment a Community Interest Company",Active
07353292,"Alpha4action CIC",Active
07877023,"Alpine Knowledge C.I.C.",Active
07932381,"Alternate Forces C.I.C.",Active
05738739,"Alternative Curriculum Education Centre C.I.C.",Active
06575787,"Alternative Non Carbon Technologies (Act) Community Interest Company",Active
06258001,"Alton Maltings Centre Community Interest Company",Active
SC384048,"Alva Ecolodge C.I.C.",Active
07556493,"Amazed Lives UK CIC","Active - Proposal to Strike off"
NI610401,"Amazing Brains N. Ireland CIC",Active
SC406528,"Amazing Events CIC",Active
07218282,"Amber Film & Photography Collective CIC",Active
07591620,"Ambiotek Community Interest Company",Active
07912935,"Amanda Jayne Productions CIC",Active
06629617,"Ambitions4kirklees CIC",Active
07669723,"Ambleside Community Enterprise (a Community Land Trust) C.I.C.",Active
07444157,"Ameliorate Training and Support Community Interest Company","Active - Proposal to Strike off"
08013784,"Amerrycan Theatre, CIC",Active
07605912,"Amirah Foundation C.I.C.",Active
07572404,"Amitola Foundation C.i.c.",Active
07352575,"Amnas C.I.C.",Active
06924306,"Amp and Deck Community Interest Company",Active
07518215,"Amp Awards C.I.C.",Active
06522790,"Amplitude Music Club C.i.c",Active
07650689,"Amrithe Varsham CIC",Active
07743899,"Amsonia C.I.C.",Active
NI068741,"Teanga CIC",Active
07625131,"An Inclusive Future C.I.C.",Active
06902951,"An-Naseeha Foundation Community Interest Company",Active
06950200,"Analogue Theatre Community Interest Company",Active
07509412,"Ancient Wessex Network CIC",Active
07140962,"And Other Stories Publishing C.I.C.",Active
07759675,"Angel De-Lites Community Interest Company",Active
07909584,"Angel Eyes Enterprises (North East) CIC",Active
06387662,"Angel Media Productions Community Interest Company",Active
06488019,"Angel Watch Security Services C.I.C.",Active
07280652,"Angelic Grace C.I.C.",Active
05542729,"Angels Community Enterprises C.I.C.",Active
07146070,"Angels Families CIC","Active - Proposal to Strike off"
07113076,"Angels with Dirty Faces Community Interest Company",Active
07442882,"Anglia Mental Health Community Interest Company",Active
07376913,"Anglian Community Enterprise (Ace) Community Interest Company",Active
07425344,"Anglo Sierra Leone Development Company Community Interest Company",Active
08085719,"Anglo Sikh Media CIC","Active - Proposal to Strike off"
07914584,"Ani-Mate Community CIC",Active
07042757,"Animal Days Out C.I.C.",Active
07831319,"Animal Haven CIC","Active - Proposal to Strike off"
07233599,"Animate & Create Community Interest Company",Active
07137124,"Animated Exeter CIC",Active
07393125,"Animation Academy CIC",Active
06134485,"Animo C.I.C.",Active
08024803,"Animus & Levo CIC",Active
05383959,"Anlp International CIC",Active
06322007,"Ann Lee Centre Community Interest Company","Active - Proposal to Strike off"
05535051,"Annie's Healthcare Services C.I.C.",Active
06383710,"Anode - a Positive Connection C.i.c","Active - Proposal to Strike off"
07401313,"Anodos Community CIC",Active
08086813,"Anthony Budal Foundation Community Interest Company",Active
05949169,"Anti Abuse of Minorities (A.a.o.m.) Community Interest Company","Active - Proposal to Strike off"
07580230,"Anti Bacterial Company Cic",Active
NI067741,"Antrim Road Regeneration Community Interest Company",Active
07277149,"Anxiety Free International CIC",Active
06990249,"Aosis Community Interest Company","Active - Proposal to Strike off"
07599236,"Ape Project CIC",Active
06949983,"Aperio Consilium Metanoia C.i.c.",Active
06814958,"Apf Leisure C.I.C.",Active
07457846,"Aphrodite Art CIC",Active
05860129,"Apnee Sehat Community Interest Company",Active
07582677,"Apothecary Gallery Community Interest Company",Active
06440042,"Appetite Dance Productions CIC",Active
06775791,"Applause (Leicestershire) Community Interest Company",Active
07712546,"Apple FM C.I.C.",Active
07738369,"Applestar Early Years CIC",Active
06050035,"Appleton and Spaunton Community Energy Community Interest Company",Active
07125281,"Wild Edric Media CIC",Active
07415420,"Appreciation Works C.I.C.",Active
07748557,"Apprentice Supermarket C.I.C.",Active
07860841,"Employment Pathways Community Interest Company",Active
07576462,"Approachable Parenting Community Interest Company",Active
07298409,"Apricot Centre CIC",Active
SC398592,"Apw Associates C.i.c.",Active
07154871,"Arabic Education Services Cic","Active - Proposal to Strike off"
SC337703,"Aran Math Community Interest Company",Active
06181346,"Arc Recycling CIC","Active - Proposal to Strike off"
07667149,"Arc8type C.I.C.",Active
07976741,"Arcade Cardiff C.I.C.",Active
07652208,"Big Heritage C.I.C.",Active
06918424,"Archive Arts Community Interest Company",Active
06975533,"Arcspace Manchester Community Interest Company",Active
07767045,"Arcswood C.I.C.",Active
SC392554,"Ardrishaig Regeneration Community Interest Company",Active
07768457,"Are You Curious? CIC",Active
07219193,"Arg Innovative Equipment CIC",Active
SC299245,"Arika Heavy Industries CIC",Active
07407877,"Arlington House (Margate) CIC",Active
SC391807,"Arran Events C.I.C.",Active
07606931,"Arrival Early Partnerships CIC","Active - Proposal to Strike off"
08002186,"Arrowriver C.I.C.",Active
08083901,"Art 2 Artz CIC",Active
07105682,"Art at the Edge CIC",Active
07534856,"Art Buffet CIC",Active
07839684,"Art Fit C.I.C.",Active
07923987,"Art for You C.I.C.",Active
07412867,"Art in Unusual Spaces Community Interest Company",Active
07246934,"Art on the Street CIC",Active
07067188,"Art Saves Lives Community Interest Company",Active
07166496,"Art Time Community Interest Company",Active
07759600,"Art to Art (Wigan) Community Interest Company",Active
07669680,"Art Works Express C.I.C.",Active
08007596,"Artbox-on-Sea Training and Consultancy C.I.C.",Active
07183160,"Arterial Consortium Community Interest Company",Active
07616232,"Artfantastic-Healing Arts- CIC",Active
06589913,"Artfully Aware Community Interest Company",Active
06275774,"Arthur + Martha Community Interest Company",Active
06482603,"Articulate Advocacy CIC",Active
07282485,"Artifact (Ne) Community Interest Company","Active - Proposal to Strike off"
07679531,"Artisan Tearooms C.I.C.",Active
07715601,"Artisanal Mining Community Interest Company",Active
05856314,"Artists' Collecting Society CIC",Active
07637791,"Artistsmeet.org CIC",Active
07201621,"Artivists Community Interest Company",Active
06444507,"Artners 4 Specialkids Community Interest Company",Active
07365019,"Artplatform C.I.C.",Active
07411657,"Arts at the Mill CIC",Active
07892951,"Arts First CIC",Active
07164733,"Arts in the Outdoors CIC","Active - Proposal to Strike off"
07792241,"Arts Migrations CIC",Active
06672458,"Artscape Manchester Community Interest Company",Active
07359036,"Artsconnect Community Interest Company",Active
07634339,"Artsourcing Community Interest Company",Active
NI612344,"Artspace Creative Arts Centre C.I.C.",Active
06258265,"Artspacelifespace C.I.C.",Active
07186200,"Artwaves CIC",Active
06986906,"Artwey Community Interest Company",Active
07532575,"Artworkability C.I.C.","Active - Proposal to Strike off"
06738322,"Artworks Yorkshire Community Interest Company",Active
07899114,"Arty Farty Stuff Community Interest Company",Active
07425743,"Arundel Tourist Information Centre C.i.c.",Active
07116430,"Ash Productions (UK) Community Interest Company",Active
07814691,"Ashland House C.I.C.",Active
07827243,"Ashton Hayes Community Energy C.I.C.",Active
06949591,"Asian Business Connexions Community Interest Company",Active
06956619,"Ask Big Dave Community Interest Company",Active
SC329111,"Askernish Golf Club Community Interest Company",Active
07080804,"Aspects Training and Project Development CIC",Active
08003601,"Aspie Enterprises C.I.C.",Active
06593620,"Aspirational Leisure Activities CIC","Active - Proposal to Strike off"
06781730,"Aspire and Excel Community Interest Company",Active
07431475,"Aspire Collective CIC",Active
07658975,"Aspire Learning Solutions CIC",Active
07723134,"Aspire Together CIC",Active
07983000,"Aspire2b Community Interest Company",Active
07722939,"Aspire2succeed Community Interest Company",Active
07111700,"Aspire4u Community Interest Company",Active
07393474,"Aspired Solutions CIC","Active - Proposal to Strike off"
07254919,"Aspiring Futures C.I.C.",Active
07625354,"Aspyrian Outdoor Learning C.I.C.","Active - Proposal to Strike off"
07789460,"Asr Learning Centre CIC",Active
07556605,"Assemble Studio CIC",Active
05935259,"Asset Base South Tyneside Community Interest Company",Active
SC334308,"Associated Independent Venue Producers Community Interest Company",Active
06810685,"Association for Professional Executive Learning C.I.C.",Active
06800135,"Association of Community Amateur Sports Clubs & Community Interest Fundraisers (Acasc/Acif) CIC",Active
06951023,"Association of Local Environmental Records Centres CIC",Active
07994424,"Association of Pensions & Benefits Claimants CIC",Active
07444105,"Association of Resident Liaison Officers CIC",Active
07775008,"Association of Rivers Communities UK Community Interest Company",Active
07185614,"Assured Housing & Support CIC","Active - Proposal to Strike off"
07156576,"Aston Arena Sports, Leisure, Health and Education CIC","Active - Proposal to Strike off"
06361011,"Aston Athletics Basketball Club Community Interest Company",Active
07781844,"Aston Sports and Community Club CIC",Active
05912677,"Aston Villa Radio CIC",Active
06654788,"Atcare CIC",Liquidation
07135258,"Athena Audio Services Community Interest Company","Active - Proposal to Strike off"
07518042,"Athena Community Training Cic","Active - Proposal to Strike off"
07595732,"Ati Media Cic",Active
06319404,"Atonement Enterprise Community Interest Company",Active
07824308,"Atrium Clinic CIC",Active
07904121,"Attachment Parenting UK C.I.C.",Active
07768542,"Attic Online C.I.C.",Active
07990879,"Attracktive Future CIC","Active - Proposal to Strike off"
SC413914,"Attune Theatre CIC",Active
07345564,"Auckland Home Solutions CIC",Active
07758226,"Aumeed CIC","Active - Proposal to Strike off"
07692949,"Autism Assist CIC",Active
07894336,"Autism Community Network C.I.C.",Active
07834302,"Autism Empowerment UK CIC",Active
07672133,"Autism in Motion Community Interest Company",Active
08083726,"Autism Know How CIC",Active
07939167,"Autism Matters C.I.C.",Active
07228202,"Autistic Spectrum Disorder Employment Support Community Interest Company",Active
07467092,"Auto and It Aid UK Community Interest Company","Active - Proposal to Strike off"
07807192,"Autonomy Connected Community Interest Company","Active - Proposal to Strike off"
07689689,"Auxilium Early Intervention Family Support CIC",Active
07960763,"Avalon Advice CIC",Active
07960878,"Avision for Empowerment CIC",Active
06849759,"Avniarts Community Interest Company",Active
07677516,"Awaaz FM Community Radio CIC",Active
07108755,"Awake to Know Africa Community Interest Company",Active
07818944,"Awamu C.I.C.",Active
06252338,"Awaz (Cumbria) Community Interest Company",Active
05724118,"Awen Productions Community Interest Company",Active
07603527,"Axlr8 Road User Education Project CIC",Active
07995892,"Axns Collective C.I.C.",Active
07753250,"Aya Distribution C.I.C.",Active
08002662,"Aylesbury Project Community Interest Company",Liquidation
SC403964,"Ayrshire Childrens Services CIC",Active
SC422181,"Ayrshire Quality Care and Support CIC",Active
07549143,"Ayudante C.I.C.",Active
06964262,"Az-1 Community Interest Company",Active
06515910,"Azook Community Interest Company",Active
08037103,"B & D Studios CIC",Active
05419521,"B' Active 'N' B' Fit CIC",Active
07091166,"B-Side Multi Media Festival Community Interest Company",Active
07529598,"B F Education C.I.C.",Active
06613195,"B4 2moro Community Interest Company",Active
06541829,"Babbacombe Cliff Railway Community Interest Company",Active
06317467,"Babbington Rescue Community Interest Company",Active
07956440,"Baby Buttercup Community Interest Company",Active
06189491,"Baby Ways Community Interest Company",Active
06040172,"Bac-in C.I.C.",Active
SC406448,"Back N' Forth CIC","Active - Proposal to Strike off"
07912928,"Back Office Solutions (NW) CIC",Active
07333250,"Back to the Roots Foundation C.I.C.",Active
SC404795,"Backbone: Celebrating Diversity Through Adventure: CIC",Active
06963633,"Backstage Academy Community Interest Company",Active
07687674,"Backstagebiz CIC",Active
06794279,"Backwell Children First Community Interest Company",Active
08055403,"Backyard Dreams CIC","Active - Proposal to Strike off"
07344191,"Bad Apples North East CIC",Active
07823671,"Bad Ideas Productions CIC","Active - Proposal to Strike off"
05493137,"Baddac Access Community Interest Company",Active
SC408055,"Badenoch Broadband & Communications CIC",Active
07298458,"Badger Arts CIC",Active
07181774,"Balanced MK Community Interest Company",Active
07987066,"Ball4all CIC",Active
SC349467,"Balloch (Loch Lomond) Community Interest Company",Active
07201765,"Balsall Common Bugle CIC",Active
06899293,"Baltic Creative Community Interest Company",Active
07919374,"Bamdad Enterprise C.I.C.","Active - Proposal to Strike off"
07386851,"Bangdrum CIC",Active
06280671,"Baobab (Creative Arts Therapies) Community Interest Company",Active
06814975,"Bare Toed Dance Community Interest Company",Active
07355710,"Barefoot Revolution Cic","Active - Proposal to Strike off"
06004205,"Barford Village Shop Community Interest Company",Active
07909487,"Barking Riverside Community Development C.I.C.",Active
06639465,"Barnard Castle Vision Community Interest Company",Active
07471007,"Barnet Centre for Independent Living, Community Interest Company",Active
08072552,"Barnsley Wood Recycling C.I.C.",Active
SC348907,"Barrhill Community Interest Company",Active
06352241,"Barrow Busy Buses Community Interest Company",Active
07504642,"Barvalipen Community Interest Company","Active - Proposal to Strike off"
07557929,"Base 87 Community Interest Company",Active
SC391541,"Base Edinburgh Community Interest Company","Active - Proposal to Strike off"
07844717,"Base Foundation C.I.C.","Active - Proposal to Strike off"
07289330,"Base Motopark Community Interest Company",Active
07706693,"Basetech Training CIC",Active
07307759,"Basic Sports & Fitness (BSF) CIC",Active
07854193,"Bassetlaw Business Focus C.I.C.",Active
07962744,"Bassingbourn Out of School Club - CIC",Active
07969632,"Bastra Immigration Consultancy C.I.C.",Active
07950896,"Bath Oliver Currency CIC",Active
07237152,"Battersea Healthcare Community Interest Company",Active
07267496,"Baubo Moon Belly Dance CIC","Active - Proposal to Strike off"
07974454,"Bayguide CIC",Active
07511283,"Bboy Wales Community Interest Company","Active - Proposal to Strike off"
07330403,"BCD Yorkshire Community Interest Company",Active
07442832,"Bci Transformation Community Interest Company",Active
07570618,"Bcomp Link 1 Community Interest Company","Active - Proposal to Strike off"
07220923,"BCT Aspire Community Interest Company",Active
06559530,"BCT Community Interest Company",Active
06357015,"BDFS C.i.c",Active
07554500,"Be Active Social Enterprise CIC",Active
06864411,"Be All You Can Community Interest Company",Active
07264409,"Be Festival C.I.C.",Active
07610933,"Be Lifestyle Studios Community Interest Company",Active
08062961,"Be Your Own Kind of Beautiful Community Interest Company",Active
07475750,"Be... Organisation CIC","Active - Proposal to Strike off"
07982320,"Beach Creative Community Interest Company",Active
06388384,"Beacon Enterprise Community Interest Company",Active
07740648,"Beacon Hill Arts Community Interest Company",Active
07601030,"Beacon Social Enterprise CIC",Active
07483354,"Beacon Therapy CIC",Active
06516213,"Beacon Tuition Centre CIC",Active
07617332,"Beanii CIC","Active - Proposal to Strike off"
07572375,"Beanpie Creative CIC",Active
07799962,"Beardwood Natural Living Project C.I.C.",Active
07754097,"Bearpit Improvement Group CIC",Active
07873929,"Beat It Music C.I.C.",Active
07541528,"The Epic Kids Club C.I.C.",Active
07185403,"Beat This C.I.C.",Active
07100905,"Beat-It Project Community Interest Company",Active
05882830,"Beautifully Made CIC",Active
07808515,"Beauty Fool Films C.I.C.",Active
07329031,"Beaver Road Little Stars Nursery Community Interest Company",Active
08075035,"Bebold Alopecia Awareness CIC",Active
06335600,"Beca Community Interest Company",Active
06452755,"Beckwiths C.i.c",Active
07906939,"Becoming Respectful Community Interest Company",Active
04895151,"Bedford Rowing Lake CIC",Active
07950922,"Bedminster College Community Interest Company",Active
06101346,"Bee Arts Community Interest Company",Active
06843942,"Bee Guardian C.I.C.",Active
07947826,"Bee Interested in Portobello Road CIC",Active
06853913,"Beechfield Properties Community Interest Company",Active
07840911,"Begoroman Mma Union (UK) CIC",Active
06828636,"Belake Community Interest Company",Active
NI071658,"Belfast Community Sports Enterprise C.i.c","Active - Proposal to Strike off"
NI608827,"Belfast Emergency Care Services CIC",Active
NI612620,"Belfast Photo Festival CIC",Active
NI612355,"Belfast Taxi and Coach C.I.C.",Active
NI601255,"Belfast Taxis C.i.c",Active
07258334,"Believe in You C.I.C.",Active
07172032,"Bell Day Nursery Community Interest Company",Active
07034401,"Belltree Music Therapy Centre Community Interest Company",Active
07492037,"Belvoir Networking C.I.C.",Active
06724746,"Beneficent Law Community Interest Company",Active
06601881,"Beneficial Resources Community Interest Company",Active
05906503,"Benefitz to Biz Community Interest Company",Active
07609550,"Benevolent Wills CIC",Active
07094340,"Bep Appointments CIC",Active
08057644,"Berkeley Mews CIC",Active
06304845,"Berkeley Pathway Homes C.I.C.",Active
